Fecha,VCP,Fondo,Moneda,Categoria,Riesgo,Horizonte,Liquidacion
2026-07-24 00:00:00,"167,58287",Acciones,Pesos,Renta Variable,Audaz,Largo plazo,t+1
2026-07-24 00:00:00,"240,59121",Ahorro corto plazo,Pesos,Renta Fija Pesos,Conservador,Corto plazo,t+1
2026-07-24 00:00:00,"72,57327",Balanz Capital Pymes,Pesos,Objeto Específico,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,39693",Balanz Crecimiento,Pesos,Objeto Específico,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,42860",Balanz Crédito Privado,Pesos,Renta Fija Pesos,Moderado,Corto plazo,t+1
2026-07-24 00:00:00,"2,40428",Balanz Desarrollo FCI,Pesos,Objeto Específico,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,17812",Balanz Estrategia II USD,Dólar,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,05478",Balanz Estrategia IV USD,Dólar,Dedicados,Conservador,Corto plazo,t+1
2026-07-24 00:00:00,"168,85533",Balanz Excalibur Regisseur,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"20,72478",Balanz Infraestructura FCI,Pesos,Objeto Específico,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"2,21718",Balanz Long Pesos,Pesos,Renta Fija Pesos,Audaz,Largo plazo,t+1
2026-07-24 00:00:00,"1,02578",Balanz Money Market USD,Dólar,Money Market,Conservador,Corto plazo,t+0
2026-07-24 00:00:00,"14,48418",Balanz Performance I,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"5,77958",Balanz Performance V,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"6,48506",Balanz Performance XI,Pesos,Dedicados,Audaz,Largo plazo,t+1
2026-07-24 00:00:00,"1,02233",Balanz Performance XII,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,57009",Balanz Performance XIII,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,00706",Balanz Renta Fija Global,Dólar,Renta Fija Pesos,Conservador,Mediano plazo,t+2
2026-07-24 00:00:00,"55,25781",Balanz Rta Fija Estrategica,Pesos,Dedicados,Moderado,Mediano plazo,t+1
2026-07-24 00:00:00,"1,43240",Corporativo,Dólar,Renta Fija USD,Moderado,Mediano plazo,t+1
