fondo;base;tna;tir;duration
Balanz Money Market USD;USD;0.7400%;0.7400%;0.04
Dolar Corto Plazo;USD;3.8431%;3.8800%;0.75
Corporativo;USD;6.1068%;6.2000%;3.02
Soberano;USD;7.9712%;8.1300%;3.9
Latam;USD;5.6502%;5.7300%;3.44
Latam (SIN Arg);USD;4.7144%;4.7700%;1.15
Money Market;ARS;18.6100%;20.4486%;0.05
Lecaps;ARS;24.3900%;27.0700%;0.15
Ahorro corto plazo;ARS;24.6729%;26.7000%;0.35
Balanz Crédito Privado;ARS;25.7868%;28.5300%;0.2144
Dolar Linked;USD;7.1000%;7.3000%;0.74
Inflation linked;CER;7.0500%;6.9500%;1.45
ONs;ARS;27.5000%;28.5000%;0.78
Opportunity;ARS;30.1454%;29.5000%;1.16
Balanz Long Pesos;ARS;26.7000%;29.1500%;2.98
Balanz Capital Pymes;ARS;22.3454%;24.0091%;0.3483
Balanz Infraestructura FCI;ARS;29.8347%;32.0600%;2.34
Renta Mixta;ARS;31.7439%;29.8000%;1.46
Acciones;;;;
Equity Selection;;;;
GLOBAL;;;;
Balanz Renta Fija Global;ARS;4.9780%;5.0400%;2.28
Soja;;;;
